# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5474956437
#
# Children      Self  Command  Shared Object            Symbol                                                                                                                                                                                         ...
# ........  ........  .......  .......................  ..................................................................................................................................................................................................
#
     3.42%     0.05%  cbmc     cbmc                     [.] boolbvt::convert_struct(struct_exprt const&)
     3.33%     0.00%  cbmc     cbmc                     [.] renamedt<ssa_exprt, (levelt)3> goto_symex_statet::set_indices<(levelt)3>(ssa_exprt, namespacet const&)
     3.25%     0.00%  cbmc     cbmc                     [.] multi_path_symex_only_checkert::~multi_path_symex_only_checkert()
     3.25%     0.00%  cbmc     cbmc                     [.] symex_target_equationt::~symex_target_equationt() (inlined)
     3.22%     0.00%  cbmc     cbmc                     [.] std::vector<irept, std::allocator<irept> >::~vector() (inlined)
     3.22%     0.00%  cbmc     cbmc                     [.] symex_level2t::operator()(renamedt<ssa_exprt, (levelt)1>) const
     3.13%     0.00%  cbmc     cbmc                     [.] goto_symext::symex_goto(goto_symex_statet&)
     3.11%     0.00%  cbmc     cbmc                     [.] void std::_Destroy<irept*, irept>(irept*, irept*, std::allocator<irept>&) (inlined)
     3.11%     0.00%  cbmc     cbmc                     [.] void std::_Destroy<irept*>(irept*, irept*) (inlined)
     3.11%     0.00%  cbmc     cbmc                     [.] void std::_Destroy_aux<false>::__destroy<irept*>(irept*, irept*) (inlined)
     3.05%     0.00%  cbmc     cbmc                     [.] forward_list_as_mapt<dstringt, irept>::~forward_list_as_mapt() (inlined)
     3.05%     0.00%  cbmc     cbmc                     [.] std::_Fwd_list_base<std::pair<dstringt, irept>, std::allocator<std::pair<dstringt, irept> > >::_M_erase_after(std::_Fwd_list_node_base*, std::_Fwd_list_node_base*) (inlined)
     3.05%     0.00%  cbmc     cbmc                     [.] std::_Fwd_list_base<std::pair<dstringt, irept>, std::allocator<std::pair<dstringt, irept> > >::~_Fwd_list_base() (inlined)
     3.05%     0.00%  cbmc     cbmc                     [.] std::forward_list<std::pair<dstringt, irept>, std::allocator<std::pair<dstringt, irept> > >::~forward_list() (inlined)
     3.01%     0.00%  cbmc     cbmc                     [.] cbmc_parse_optionst::get_goto_program(goto_modelt&, optionst const&, cmdlinet const&, ui_message_handlert&)
     3.00%     0.00%  cbmc     cbmc                     [.] void std::_Destroy<irept>(irept*) (inlined)
     2.99%     0.00%  cbmc     cbmc                     [.] boolbvt::convert_array(exprt const&)
     2.85%     1.05%  cbmc     cbmc                     [.] Minisat::Solver::attachClause(unsigned int)
     2.71%     0.00%  cbmc     cbmc                     [.] value_sett::get_value_set(exprt, namespacet const&, bool) const
     2.71%     0.00%  cbmc     cbmc                     [.] build_ssa_identifier_rec(exprt const&, dstringt const&, dstringt const&, dstringt const&, std::ostream&, std::ostream&)
     2.58%     0.05%  cbmc     cbmc                     [.] void std::vector<jsont, std::allocator<jsont> >::_M_realloc_insert<jsont const&>(__gnu_cxx::__normal_iterator<jsont*, std::vector<jsont, std::allocator<jsont> > >, jsont const&)
     2.56%     0.10%  cbmc     cbmc                     [.] cnft::land(std::vector<literalt, std::allocator<literalt> > const&)
     2.47%     0.00%  cbmc     cbmc                     [.] tree_nodet<irept, forward_list_as_mapt<dstringt, irept>, true>::tree_nodet(tree_nodet<irept, forward_list_as_mapt<dstringt, irept>, true> const&) (inlined)
     2.43%     0.00%  cbmc     cbmc                     [.] goto_symex_property_decidert::~goto_symex_property_decidert() (inlined)
     2.43%     0.00%  cbmc     cbmc                     [.] solver_factoryt::solvert::~solvert() (inlined)
     2.43%     0.00%  cbmc     cbmc                     [.] std::default_delete<solver_factoryt::solvert>::operator()(solver_factoryt::solvert*) const (inlined)
     2.43%     0.00%  cbmc     cbmc                     [.] std::unique_ptr<solver_factoryt::solvert, std::default_delete<solver_factoryt::solvert> >::~unique_ptr() (inlined)
     2.43%     0.06%  cbmc     cbmc                     [.] update_identifier(ssa_exprt&)
     2.32%     0.00%  cbmc     cbmc                     [.] value_sett::get_value_set_rec(exprt const&, reference_counting<std::map<unsigned long, std::optional<exprt>, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, std::o...
     2.30%     0.00%  cbmc     cbmc                     [.] cbmc_parse_optionst::process_goto_program(goto_modelt&, optionst const&, messaget&)
     2.25%     2.25%  cbmc     cbmc                     [.] irept::find(dstringt const&) const
     2.25%     1.04%  cbmc     cbmc                     [.] Minisat::Solver::newVar(Minisat::lbool, bool)
     2.24%     0.00%  cbmc     cbmc                     [.] forward_list_as_mapt<dstringt, irept>::forward_list_as_mapt(forward_list_as_mapt<dstringt, irept> const&) (inlined)
     2.24%     0.00%  cbmc     cbmc                     [.] std::_Fwd_list_node<std::pair<dstringt, irept> >* std::_Fwd_list_base<std::pair<dstringt, irept>, std::allocator<std::pair<dstringt, irept> > >::_M_create_node<std::pair<dstringt, irept> ...
     2.24%     0.00%  cbmc     cbmc                     [.] std::forward_list<std::pair<dstringt, irept>, std::allocator<std::pair<dstringt, irept> > >::forward_list(std::forward_list<std::pair<dstringt, irept>, std::allocator<std::pair<dstringt, ...
     2.24%     0.00%  cbmc     cbmc                     [.] void std::forward_list<std::pair<dstringt, irept>, std::allocator<std::pair<dstringt, irept> > >::_M_range_initialize<std::_Fwd_list_const_iterator<std::pair<dstringt, irept> > >(std::_Fw...
     2.21%     0.00%  cbmc     cbmc                     [.] simplify_exprt::simplify(exprt&)
     2.20%     0.89%  cbmc     libstdc++.so.6.0.33      [.] std::basic_filebuf<char, std::char_traits<char> >::xsgetn(char*, long)
     2.15%     0.12%  cbmc     cbmc                     [.] Minisat::Solver::~Solver()
     2.15%     0.00%  cbmc     cbmc                     [.] Minisat::Solver::~Solver()
     2.15%     0.00%  cbmc     cbmc                     [.] satcheck_minisat2_baset<Minisat::Solver>::~satcheck_minisat2_baset()
     2.15%     0.00%  cbmc     cbmc                     [.] satcheck_minisat_no_simplifiert::~satcheck_minisat_no_simplifiert()
     2.15%     0.00%  cbmc     cbmc                     [.] std::default_delete<propt>::operator()(propt*) const (inlined)
     2.15%     0.00%  cbmc     cbmc                     [.] std::unique_ptr<propt, std::default_delete<propt> >::~unique_ptr() (inlined)
     2.15%     0.06%  cbmc     cbmc                     [.] std::__cxx11::_List_base<SSA_stept, std::allocator<SSA_stept> >::_M_clear()
     2.15%     0.00%  cbmc     cbmc                     [.] std::__cxx11::_List_base<SSA_stept, std::allocator<SSA_stept> >::~_List_base() (inlined)
     2.15%     0.00%  cbmc     cbmc                     [.] std::__cxx11::list<SSA_stept, std::allocator<SSA_stept> >::~list() (inlined)
     2.13%     0.00%  cbmc     cbmc                     [.] std::pair<dstringt, irept>::~pair() (inlined)
